ticker,month,open,high,low,close,volume,vwap
AMZN,2004-11,2.023,2.075,1.7075,1.984,3369498000,1.984
AMZN,2004-12,2.25,2.284,1.8995,2.2145,3520296000,2.2145
AMZN,2005-01,2.2475,2.272,2.013,2.161,3898704000,2.161
AMZN,2005-02,2.15,2.177,1.66,1.759,4373102000,1.759
AMZN,2005-03,1.775,1.8215,1.641,1.7135,2391332000,1.7135
AMZN,2005-04,1.7315,1.767,1.53,1.618,3249826000,1.618
AMZN,2005-05,1.7015,1.802,1.605,1.7755,2338956000,1.7755
AMZN,2005-06,1.7785,1.8495,1.6465,1.6545,2124672000,1.6545
AMZN,2005-07,1.662,2.2905,1.6395,2.2575,3652022000,2.2575
AMZN,2005-08,2.245,2.3485,2.0955,2.135,2295022000,2.135
AMZN,2005-09,2.1,2.292,2.025,2.265,2094008000,2.265
AMZN,2005-10,2.2665,2.35,1.936,1.993,2939602000,1.993
AMZN,2005-11,2.273,2.4715,1.9825,2.423,4329106000,2.423
AMZN,2005-12,2.444,2.5,2.357,2.3575,2423356000,2.3575
AMZN,2006-01,2.3735,2.429,2.155,2.241,2468206000,2.241
AMZN,2006-02,1.885,2.2345,1.8525,2.137,3310894000,2.137
AMZN,2006-03,1.812,1.8915,1.757,1.8265,2443562000,1.8265
AMZN,2006-04,1.807,1.942,1.7505,1.7605,2135172000,1.7605
AMZN,2006-05,1.642,1.825,1.576,1.7305,2937920000,1.7305
AMZN,2006-06,1.7505,1.942,1.621,1.934,2302348000,1.934
AMZN,2006-07,1.926,1.931,1.298,1.3445,4573268000,1.3445
AMZN,2006-08,1.5375,1.5495,1.288,1.5335,3183736000,1.5335
AMZN,2006-09,1.588,1.6405,1.484,1.606,2920374000,1.606
AMZN,2006-10,1.545,1.9295,1.529,1.9045,4189700000,1.9045
AMZN,2006-11,2.0055,2.1625,1.8435,2.017,2936048000,2.017
AMZN,2006-12,2.013,2.032,1.885,1.973,2420814000,1.973
AMZN,2007-01,1.934,1.957,1.815,1.8835,2608706000,1.8835
AMZN,2007-02,1.8975,2.1,1.834,1.957,3159508000,1.957
AMZN,2007-03,1.8575,2.012,1.852,1.9895,2843062000,1.9895
AMZN,2007-04,2.2305,3.192,1.9775,3.0665,6925740000,3.0665
AMZN,2007-05,3.051,3.6655,2.985,3.457,6604848000,3.457
AMZN,2007-06,3.445,3.736,3.3355,3.4205,4775774000,3.4205
AMZN,2007-07,3.4405,4.45,3.4005,3.927,5296556000,3.927
AMZN,2007-08,3.905,4.04,3.5025,3.9955,3510280000,3.9955
AMZN,2007-09,4.225,4.713,3.9865,4.6575,2445464000,4.6575
AMZN,2007-10,4.693,5.0545,4.1635,4.4575,4639770000,4.4575
AMZN,2007-11,3.9715,4.5735,3.825,4.528,3603930000,4.528
AMZN,2007-12,4.5015,4.797,4.193,4.632,2541244000,4.632
AMZN,2008-01,4.7675,4.8715,3.442,3.885,5766708000,3.885
AMZN,2008-02,3.951,3.97,3.1985,3.2235,4224356000,3.2235
